,img,fld,TF_name,blur_lapl,blur_ski,patch_size,mean_intensity,sum_intensity,median_intensity,standard_deviation,variance,skewness,kurtosis,interquartile_range ,entropy,Perimeter,area_Test,axis_major_length,feret_diameter_max,axis_minor_length,solidity,gabro_0,gabro_1,gabro_2,gabro_3,gabro_4,gabro_5,gabro_6,gabro_7,gabro_8,gabro_9,gabro_10,gabro_11,gabro_12,gabro_13,gabro_14,gabro_15,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7
patch_9,0,1,C - 1,False,False,1689,1070.47306098283,1808029,1081.0,130.1287812835388,16933.499718339084,-0.5082295282396757,0.4838027797254729,161.0,7.424279450047392,154.0243866176395,1689.0,52.63017198517436,54.3415126767741,41.019023473827794,0.9802669762042948,0.455188679245283,0.009433962264150943,0.03419811320754717,0.01061320754716981,0.01650943396226415,0.04481132075471698,0.007075471698113208,0.06132075471698113,0.03537735849056604,0.03891509433962264,0.01061320754716981,0.008254716981132075,0.03773584905660377,0.0625,0.027122641509433963,0.1403301886792453,0.19162210338680927,0.1746880570409982,0.10784313725490197,0.0944741532976827,0.10071301247771836,0.08645276292335116,0.1051693404634581,0.13903743315508021
patch_10,0,1,C - 1,False,False,1496,872.0026737967914,1304516,872.0,69.22489114724657,4792.085554348137,0.08130321067672647,-0.12334479455254588,97.0,7.3073963427670225,152.36753236814712,1496.0,57.165714137236684,58.309518948453004,33.627736851596104,0.9689119170984456,0.5295454545454545,0.00909090909090909,0.0659090909090909,0.006818181818181818,0.006818181818181818,0.005681818181818182,0.005681818181818182,0.05909090909090909,0.004545454545454545,0.0659090909090909,0.035227272727272725,0.006818181818181818,0.02159090909090909,0.16022727272727272,0.003409090909090909,0.013636363636363636,0.24008350730688935,0.1722338204592902,0.10020876826722339,0.09707724425887265,0.055323590814196244,0.08037578288100208,0.09394572025052192,0.16075156576200417
patch_11,0,1,C - 1,False,False,1700,819.0882352941177,1392450,817.0,60.48275770199929,3658.1639792387546,0.09085490773155123,0.07830558689678968,82.0,7.4356557190431705,157.19595949289334,1700.0,55.693590167620904,57.3149195236284,38.94553311846195,0.9703196347031964,0.14473684210526316,0.007675438596491228,0.04276315789473684,0.518640350877193,0.0043859649122807015,0.05592105263157895,0.01644736842105263,0.005482456140350877,0.04276315789473684,0.009868421052631578,0.005482456140350877,0.05921052631578947,0.0043859649122807015,0.03618421052631579,0.03728070175438596,0.008771929824561403,0.2436500470366886,0.20884289746001883,0.08184383819379115,0.08090310442144873,0.05268109125117592,0.0761994355597366,0.08372530573847602,0.17215428033866415
patch_12,0,1,C - 1,False,False,1276,900.8401253918495,1149472,901.0,75.09095522163192,5638.65155609713,0.0035006870107812727,0.10123232990794051,100.0,7.147998976474182,138.8111831820431,1276.0,45.13645095626253,47.01063709417264,36.32667232830219,0.9615674453654861,0.03835227272727273,0.026988636363636364,0.052556818181818184,0.005681818181818182,0.041193181818181816,0.007102272727272727,0.4758522727272727,0.004261363636363636,0.07954545454545454,0.03409090909090909,0.171875,0.005681818181818182,0.022727272727272728,0.02130681818181818,0.007102272727272727,0.005681818181818182,0.24567901234567902,0.17037037037037037,0.11234567901234568,0.07530864197530865,0.0654320987654321,0.09506172839506173,0.0654320987654321,0.17037037037037037
patch_13,0,1,C - 1,False,False,1495,783.7130434782608,1171651,787.0,60.404167698534046,3648.663475352624,-0.006838998158615343,-0.012780138643365024,82.0,7.306901841258272,155.1959594928933,1495.0,50.9751767273583,52.392747589718944,39.71929572377254,0.932626325639426,0.17875,0.005,0.04125,0.02125,0.00875,0.07875,0.0525,0.005,0.00625,0.0075,0.04,0.47125,0.03375,0.00375,0.04125,0.005,0.2386961093585699,0.19137749737118823,0.10515247108307045,0.0694006309148265,0.07150368033648791,0.07781282860147214,0.08307045215562565,0.16298633017875921
patch_14,0,1,C - 1,False,False,1024,787.4404296875,806339,788.0,60.223917835880364,3626.9202795028687,0.03723550353229003,-0.07881373133628289,80.0,6.9285415569705275,123.63961030678927,1024.0,40.97052789499584,42.720018726587654,32.076437912459234,0.9552238805970149,0.5265625,0.00625,0.01875,0.01875,0.00625,0.0078125,0.0078125,0.078125,0.059375,0.028125,0.00625,0.0390625,0.0046875,0.1453125,0.0046875,0.0421875,0.2361111111111111,0.21450617283950618,0.09259259259259259,0.08796296296296297,0.05555555555555555,0.06481481481481481,0.08179012345679013,0.16666666666666666
patch_15,0,1,C - 1,False,False,1928,791.0093360995851,1525066,792.0,60.21857590305172,3626.2768837916014,0.0194641283934828,-0.05226935228003793,81.0,7.561333814634053,165.53910524340094,1928.0,55.6670450540537,55.90169943749474,44.24649915570917,0.9781836631151699,0.5042613636363636,0.011363636363636364,0.03551136363636364,0.004261363636363636,0.07102272727272728,0.009943181818181818,0.03409090909090909,0.017045454545454544,0.009943181818181818,0.05113636363636364,0.005681818181818182,0.14914772727272727,0.03409090909090909,0.004261363636363636,0.014204545454545454,0.04403409090909091,0.24398340248962655,0.2,0.08049792531120332,0.07551867219917012,0.06307053941908713,0.08049792531120332,0.07966804979253111,0.17676348547717843
patch_16,0,1,C - 1,False,False,1484,874.9245283018868,1298388,872.0,66.19745817207236,4382.103468443269,0.08910681062149509,-0.18575819888606837,90.0,7.299632913552452,163.63961030678925,1484.0,67.08528507912493,65.25335240430181,28.38697220473374,0.958656330749354,0.6418650793650794,0.01488095238095238,0.0625,0.006944444444444444,0.05654761904761905,0.00496031746031746,0.061507936507936505,0.005952380952380952,0.00496031746031746,0.00496031746031746,0.010912698412698412,0.037698412698412696,0.025793650793650792,0.025793650793650792,0.025793650793650792,0.008928571428571428,0.23819742489270387,0.194206008583691,0.09334763948497854,0.09334763948497854,0.0611587982832618,0.07618025751072961,0.08798283261802575,0.1555793991416309
patch_17,0,1,C - 1,False,False,1083,930.9224376731302,1008189,934.0,73.2731988277382,5368.961666449254,-0.16839308791755322,0.26568075948647163,98.0,6.9843679596144135,123.39696961966999,1083.0,45.24097515199435,46.22769732530488,30.757920493666454,0.9845454545454545,0.15384615384615385,0.008012820512820512,0.05929487179487179,0.008012820512820512,0.00641025641025641,0.0625,0.004807692307692308,0.008012820512820512,0.035256410256410256,0.5144230769230769,0.03685897435897436,0.016025641025641024,0.027243589743589744,0.004807692307692308,0.00641025641025641,0.04807692307692308,0.23504273504273504,0.18376068376068377,0.09544159544159544,0.08831908831908832,0.06837606837606838,0.07122507122507123,0.0811965811965812,0.17663817663817663
patch_18,0,1,C - 1,False,False,1427,824.4758234057463,1176527,822.0,61.786098884394185,3817.5220153521363,0.07920456447906887,0.015046845406209375,86.0,7.260519235132689,153.88225099390857,1427.0,60.68736767942706,59.682493245507096,30.481742161358955,0.9431592861863847,0.03919491525423729,0.020127118644067795,0.5,0.00847457627118644,0.011652542372881356,0.006355932203389831,0.04449152542372881,0.13877118644067796,0.018008474576271187,0.03919491525423729,0.0031779661016949155,0.0413135593220339,0.07521186440677965,0.00423728813559322,0.0413135593220339,0.00847457627118644,0.2172043010752688,0.1913978494623656,0.11720430107526882,0.07741935483870968,0.06236559139784946,0.07311827956989247,0.08817204301075268,0.17311827956989248
