,patch,img,TF_name,blur_lapl,blur_ski,patch_size,mean_intensity,sum_intensity,median_intensity,standard_deviation,variance,skewness,kurtosis,interquartile_range ,entropy,Perimeter,area_Test,axis_major_length,feret_diameter_max,axis_minor_length,solidity,similarity,hull area,correlation coef,gabro_0,gabro_1,gabro_2,gabro_3,gabro_4,gabro_5,gabro_6,gabro_7,gabro_8,gabro_9,gabro_10,gabro_11,gabro_12,gabro_13,gabro_14,gabro_15,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,Circularity
10,patch_17,1,C - 7,False,False,1223,1275.442354865086,1559866,1066.0,473.4515680772579,224156.3873148144,1.558446469024229,1.6598609786857317,476.5,7.048665152725523,140.46803743153546,1223,55.6771714435652,55.65968020030299,28.115297409609035,0.9599686028257456,0.412,1274,-0.29071,0.1003787878787878,0.0113636363636363,0.5454545454545454,0.0056818181818181,0.0094696969696969,0.0056818181818181,0.0189393939393939,0.0321969696969696,0.0094696969696969,0.0246212121212121,0.0075757575757575,0.0056818181818181,0.0075757575757575,0.0075757575757575,0.1647727272727272,0.043560606060606,0.173054587688734,0.1475029036004645,0.1173054587688734,0.1091753774680604,0.1416957026713124,0.1056910569105691,0.0836236933797909,0.1219512195121951,0.7788992609070946
11,patch_18,1,C - 7,False,False,840,860.952380952381,723200,859.0,62.67799506812289,3928.531065759637,0.0491449663143403,-0.2081670559314927,88.0,6.730748484956325,110.32590180780451,840,35.42716568975591,36.359317925395686,30.688730810580587,0.9545454545454546,0.237,880,-0.20049,0.4482142857142857,0.0285714285714285,0.0107142857142857,0.0125,0.0928571428571428,0.0285714285714285,0.0053571428571428,0.0392857142857142,0.0053571428571428,0.0392857142857142,0.0107142857142857,0.0464285714285714,0.0196428571428571,0.0392857142857142,0.1089285714285714,0.0642857142857142,0.2323049001814882,0.1851179673321234,0.1052631578947368,0.101633393829401,0.0653357531760435,0.072595281306715,0.0816696914700544,0.1560798548094374,0.8672297703205785
12,patch_19,1,C - 7,False,False,2042,1174.156709108717,2397628,871.0,563.5831940169936,317626.01657839626,1.2707474733055482,0.0743163155114312,736.75,7.521050523764081,184.79393923934,2042,72.34164675597296,71.28113354878694,36.521022947636936,0.970532319391635,0.489,2104,-0.047,0.0614919354838709,0.0050403225806451,0.0100806451612903,0.0231854838709677,0.0040322580645161,0.0070564516129032,0.0080645161290322,0.0120967741935483,0.0796370967741935,0.6774193548387096,0.0050403225806451,0.0262096774193548,0.0060483870967741,0.0352822580645161,0.0352822580645161,0.0040322580645161,0.1817533856022808,0.1732002851033499,0.1054882394868139,0.1026372059871703,0.1183178902352102,0.104775481111903,0.0791161796151104,0.1347113328581611,0.7514328119833203
13,patch_20,1,C - 7,False,False,534,882.6928838951311,471358,881.0,58.97256444823094,3477.763357600752,0.2123128876965722,0.1144784203106406,77.75,6.278169517513351,87.39087296526012,534,26.76622510767641,29.546573405388315,25.721010863541416,0.956989247311828,0.099,558,0.07302,0.1319444444444444,0.0092592592592592,0.0879629629629629,0.0185185185185185,0.0138888888888888,0.0324074074074074,0.0625,0.0138888888888888,0.0208333333333333,0.0555555555555555,0.037037037037037,0.0069444444444444,0.0254629629629629,0.011574074074074,0.4328703703703703,0.0393518518518518,0.228169014084507,0.180281690140845,0.1154929577464788,0.0816901408450704,0.0450704225352112,0.0873239436619718,0.0845070422535211,0.1774647887323943,0.8786561755991897
14,patch_21,1,C - 7,False,False,1255,839.8788844621514,1054048,839.0,57.52118328273172,3308.686526245616,0.231005116388877,0.4536565054157453,77.5,7.132551858282893,133.63961030678928,1255,43.947777294702064,44.40720662234904,36.54456221936663,0.9721146398140976,0.448,1291,0.00391,0.5,0.0059523809523809,0.0773809523809523,0.019345238095238,0.0133928571428571,0.0089285714285714,0.050595238095238,0.03125,0.0059523809523809,0.1458333333333333,0.0089285714285714,0.0431547619047619,0.0208333333333333,0.0238095238095238,0.0208333333333333,0.0238095238095238,0.2370744010088272,0.2030264817150063,0.0857503152585119,0.0844892812105926,0.0554854981084489,0.0870113493064312,0.0744010088272383,0.1727616645649432,0.8830457175630857
15,patch_22,1,C - 7,False,False,566,899.7155477031802,509239,898.0,64.97231271123347,4221.40141904631,0.4163792972148118,0.3955635294070156,84.0,6.336005465074043,95.25483399593904,566,36.35565486827036,36.40054944640259,20.537364642299668,0.929392446633826,0.244,609,0.21121,0.0410714285714285,0.0071428571428571,0.0178571428571428,0.075,0.0089285714285714,0.0071428571428571,0.625,0.0553571428571428,0.0160714285714285,0.0392857142857142,0.0089285714285714,0.0071428571428571,0.0053571428571428,0.0178571428571428,0.0464285714285714,0.0214285714285714,0.2371967654986523,0.1617250673854447,0.1293800539083558,0.0889487870619946,0.0835579514824797,0.0727762803234501,0.0727762803234501,0.1536388140161725,0.7838848052607476
16,patch_23,1,C - 7,False,False,2037,809.238586156112,1648419,808.0,55.54096016302912,3084.798255831188,0.168572089607097,0.1103471179056545,73.0,7.616881523377092,172.95331880577402,2037,64.09837491826703,63.788713735268246,40.55609668434416,0.9769784172661872,0.249,2085,-0.04354,0.4623015873015873,0.0079365079365079,0.0337301587301587,0.0049603174603174,0.0734126984126984,0.0079365079365079,0.0178571428571428,0.0327380952380952,0.0059523809523809,0.0307539682539682,0.0049603174603174,0.0734126984126984,0.0436507936507936,0.1369047619047619,0.050595238095238,0.0128968253968253,0.2316118935837245,0.1815336463223787,0.1001564945226917,0.0978090766823161,0.0555555555555555,0.0735524256651017,0.081377151799687,0.1784037558685446,0.8557424827663439
17,patch_24,1,C - 7,False,False,994,1305.5784708249496,1297745,928.5,846.705756569853,716910.638208527,2.0024757990594937,2.6967704891090127,234.25,6.740151005912542,153.78174593052023,994,54.56857062348272,59.13543776789008,26.04746150296061,0.8087876322213181,0.273,1229,-0.3058,0.0397727272727272,0.0075757575757575,0.0056818181818181,0.6666666666666666,0.0113636363636363,0.0113636363636363,0.053030303030303,0.0075757575757575,0.0075757575757575,0.0075757575757575,0.0094696969696969,0.0151515151515151,0.0871212121212121,0.0397727272727272,0.0056818181818181,0.0246212121212121,0.1759890859481582,0.1200545702592087,0.1036834924965893,0.1336971350613915,0.155525238744884,0.1227830832196452,0.068212824010914,0.1200545702592087,0.528185742386877
18,patch_25,1,C - 7,False,False,826,893.6900726392251,738188,891.0,62.09674419763324,3856.0056399462974,0.3516689544737976,0.7288406181274674,81.75,6.714193585727233,113.84062043356596,826,45.13851774858043,45.35416188179427,23.536866485580752,0.9672131147540984,0.103,854,0.01114,0.0383522727272727,0.0198863636363636,0.1463068181818181,0.0056818181818181,0.0426136363636363,0.0085227272727272,0.4943181818181818,0.034090909090909,0.0525568181818181,0.0511363636363636,0.0071022727272727,0.0071022727272727,0.03125,0.0042613636363636,0.046875,0.0099431818181818,0.1985294117647058,0.2058823529411764,0.1305147058823529,0.1084558823529411,0.0698529411764705,0.0680147058823529,0.0514705882352941,0.1672794117647058,0.8009315532875954
19,patch_26,1,C - 7,False,False,811,979.094944512947,794046,977.0,79.56451824675278,6330.512563837858,0.0390924602692223,-0.1939089028754121,113.5,6.694959354939779,109.84062043356596,811,35.82571974603678,38.60051813123757,29.25188721086945,0.9620403321470936,0.143,843,0.13437,0.0557432432432432,0.0050675675675675,0.1368243243243243,0.0050675675675675,0.0135135135135135,0.0439189189189189,0.5253378378378378,0.0101351351351351,0.0084459459459459,0.0337837837837837,0.0033783783783783,0.0692567567567567,0.0354729729729729,0.0371621621621621,0.0050675675675675,0.0118243243243243,0.2245283018867924,0.1792452830188679,0.1188679245283018,0.0773584905660377,0.0735849056603773,0.090566037735849,0.0792452830188679,0.1566037735849056,0.8447044139098794
